iteration,HP_set,best_val_RMSE,test_RMSE
0,0,1.85524,1.9968377
0,1,1.8465489,1.6234266
0,2,1.7923452,1.9501202
0,3,1.7923676,1.9371126
0,4,1.8148938,1.8276838
0,5,1.836018,1.6763153
0,6,1.7918981,1.7565613
0,7,1.7656858,1.7652208
1,0,1.7344354,1.7334338
1,1,1.7616459,1.6380407
1,2,1.7411424,1.7127762
1,3,1.7365155,1.6845485
1,4,1.7407947,1.7865057
1,5,1.7499989,1.9058689
1,6,1.7504766,1.6772045
1,7,1.723091,1.6796328
2,0,2.0941522,2.6164513
2,1,2.0837576,2.5198078
2,2,2.08965,2.567592
2,3,2.0876017,2.568806
2,4,2.0759833,2.5229595
2,5,2.0742567,2.5503545
2,6,2.1015239,2.6689134
2,7,2.094626,2.6188219
3,0,1.5549152,1.7606862
3,1,1.5644301,1.7626462
3,2,1.5536793,1.7818028
3,3,1.5515527,1.7930877
3,4,1.554613,1.7664561
3,5,1.5651304,1.7480375
3,6,1.5549024,1.7497486
3,7,1.566599,1.8257322
4,0,2.127035,1.7872908
4,1,2.1288195,1.8382614
4,2,2.1277068,1.8006133
4,3,2.1180449,1.7431654
4,4,2.126033,1.743835
4,5,2.1306884,1.710179
4,6,2.119224,1.74192
4,7,2.130648,1.7400081
5,0,1.793753,1.809828
5,1,1.7866632,1.9355102
5,2,1.8248175,1.7878636
5,3,1.7954988,1.8195858
5,4,1.7792379,1.8047032
5,5,1.7868149,1.945951
5,6,1.7502043,1.9116907
5,7,1.8330933,1.742546
6,0,1.6253426,2.6763024
6,1,1.6052668,2.7794895
6,2,1.6122887,2.778375
6,3,1.6039492,2.7605283
6,4,1.6510458,2.8801389
6,5,1.6191069,2.8313687
6,6,1.6289511,2.839521
6,7,1.6152996,2.8187377
7,0,1.9504749,1.585709
7,1,1.9451208,1.6704978
7,2,1.9289783,1.5208722
7,3,1.9290048,1.5699898
7,4,1.9471004,1.595222
7,5,1.9504868,1.7335724
7,6,1.9380515,1.5998961
7,7,1.930009,1.5658354
8,0,1.4720012,2.210344
8,1,1.4708402,2.1569006
8,2,1.4505804,2.1802957
8,3,1.4603113,2.1750116
8,4,1.484725,2.2202847
8,5,1.482486,2.1768794
8,6,1.4712999,2.249647
8,7,1.469106,2.228566
9,0,1.5099345,1.6136159
9,1,1.5169178,1.692052
9,2,1.538509,1.6753097
9,3,1.5168339,1.6019399
9,4,1.5082684,1.6329213
9,5,1.5090859,1.6133868
9,6,1.5242828,1.5789135
9,7,1.5107491,1.591692
